ASEAN Food ID,Food and Description,ENERC (ENERC),WATER,PROCNT,FAT,CHOVLDF (CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
AAN38,"Sauce, oyster",71.1,2.9,0.3,(14.7),-,11,(210),17,32,3379,74,1.1,-,-,0,6,0.01,0.04,0.4,7,0
AAN70,"Sauce, soy, dark",40.3,4.4,0,(48.1),-,7.2,36,79,17,3472,2190,-,-,-,-,-,0.01,0.09,0.2,0,0
AAN98,"Sauce, soy, light, grade 1, per 100 ml (120.7 g)",80.2,5.9,0,3.2,0,31.4,114,1,-,9489,-,-,-,-,-,-,-,-,-,-,0
AAN77,"Sauce, tomato (ketchup)",67.3,1.6,0,26.5,1,3.6,62,20,24,954,139,0.9,-,-,383,32,0.09,0.06,1.8,9,0
AAN51,"Shallot, bulb",82.8,1.7,0.1,12.3,2.4,0.7,277,50,40,10,256,0.9,0.08,0.3,3,0,0.11,0.06,0.3,9,-
AAN95,"Shrimp, ground, with chilli",6.8,56.1,3.6,0,9.9,23.6,36,2953,-,4919,-,27.9,-,-,-,-,-,-,-,-,0
AAN71,"Sweet basil, leaf",88.4,2.9,0.1,4.8,2,1.8,38,155,63,26,398,7.6,0.16,0.8,2713,226,0.11,0.15,0.9,21,0
AAN81,"Turmeric, rhizome, fresh",86.7,1.1,0.3,4.4,6.5,1,(36),50,74,52,587,1.4,-,-,0,0,0.03,0.03,0.4,4,0
AAN82,"Turmeric, white, fresh",90.4,0.5,0.3,(7.7),-,1.1,14,81,-,-,9.4,-,-,-,-,0.03,0.01,0.5,10,,
AAP1,"Beer, pale pilsen",16,95.8,0.4,(T),3.6,0,0.2,53,16,-,-,0.2,-,-,0,0,0,T,0.03,0.5,0
AAQ9,"Coffee, iced, per 100 ml",63,90,1.7,0.6,12.6,0p,0.7,49,-,68,-,0.1,-,-,-,-,-,-,-,-,-
AAQ16,"Drink, aloe vera flavour, canned, per 100 ml",49,88.3,0,0.6,10.7,0.2,0.2,31,3,22,12,-,-,0.1,0,-,-,-,0.03,T,16
AAQ47,"Drink, roselle, per 100 ml",66,89.6,0,0,16.4,0.1,0.1,10,-,10,-,0.4,-,-,0,-,-,0,1,1.8,8
AAQ59,"Energy drink , chocolate flavoured, powder (Milo+Ovaltine)",396,2.3,12,5.5,74.7,0p,5.5,474,482,-,-,9.8,-,-,0,-,-,-,-,-,-
AAQ65,"Juice, coconut, per 100 ml",-41,89.7,0.1,0.3,-9.5,-,0.4,15,-,14,-,0.1,-,-,0,-,-,-,-,-,-
AAQ5,"Juice, coconut, immature kernel, per 100 g",22,94.2,0.2,0,-5.2,-,0.4,30,16,1,198,0.2,-,-,0,0,0,0,0,0,5
AAQ15,"Juice, lychee, 25%, canned, per 100 ml",55,90.3,0.1,0,13.6,0,0.1,2,-,12,-,0.2,-,-,0,-,-,-,0.03,T,1
AAQ43,"Juice, orange, 100%, per 100 ml",56,91.1,0.6,0.1,13.1,0.1,0.5,8,-,26,117,0.3,-,-,0,-,-,0.03,0.2,2.1,0
AAQ32,"Juice, palm, 100%, per 100 ml",-96,84,0,T,-24.1,-,0.7,26,-,26,-,0.2,-,-,0,-,-,0.01,0.05,0.6,41
AAQ33,"Juice, passion fruit, 25%, per 100 ml",73,87.5,0.2,T,18,0.1,0.2,5,-,11,-,0.2,-,-,0,-,-,-,0.01,-,1
AAQ57,Soybean milk,53,88.7,2.3,1.9,6.7,0.1,0.3,20,23,2,38,0.4,-,-,0,75,6,0.08,0.04,0.5,0
AAQ66,"Soybean milk, commercial, per 100 ml",82,88,2.5,3.5,10,0.4,0.4,24,-,37,-,0.4,-,-,0,-,-,0.01,0.05,-,0
AAQ55,"Tea w/ milk, per 100 ml",68,87.8,0.1,1.1,14.5,0p,0.1,1,-,18,-,0.1,-,-,-,-,-,-,-,-,-
AAS1,"Burger, beef",275,47.2,13.4,14.8,21.4,1.4,1.8,60,118,-,-,2.2,-,-,10,10,11,0.16,0.15,2.6,0
AAS3,"Burger, chicken",294,43.6,13.3,16,23.1,2.3,1.7,53,93,515,202,0.8,0.06,0.9,10,5,10,0.09,0.04,-,nd
AAS4,"Burger, Fish",289,44.2,11.6,15.6,24.6,2,2,68,139,562,187,1,-,1,-,-,-,-,-,-,-
AAS6,French fries,336,34.8,3.9,18.1,37.2,4.2,1.8,16,133,-,-,0,-,-,0,0,0,0.16,0.06,2.4,0
AAS7,Hot Dog,268,45,9.9,12.3,28.1,2.7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AAS9,"Pizza, seafood, thin crust",232,47.9,15.2,7.9,23.4,3.4,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AAS10,"Sandwich, chicken",286,45.5,12,15.6,23.5,1.6,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AAS11,"Sandwich, ham",220,54.6,9.3,10.2,22.2,0.9,2.8,26,129,589,142,0.7,-,0.6,-,-,-,-,-,-,-
AAT351,"Porridge, rice, ground, with minced pork",(57),87.7,1.6,2.6,(6.9),-,1.2,6,-,-,-,0.5,-,-,-,-,-,-,-,-,-
AAT12,"Porridge, rice, ready to eat",(59),85.4,4.1,0.8,(8.9),-,0.8,-,-,205,129,-,-,-,-,-,-,-,-,-,-
AAT362,Rice and seasoned fried pork ,(144),67.4,7.7,3.2,(21.1),-,0.6,-,-,222,208,-,-,-,-,-,-,-,-,-,-
AAT353,Rice porridge with pork,(65),84.2,4.2,1.2,(9.4),-,1,-,72,272,136,-,-,-,-,-,-,-,-,-,-
AAT366,Rice w/ pig leg and gravy,161,65.3,7.2,5.9,19.3,1,1.3,236,43,324,52,0.8,-,-,-,-,-,0.08,0.21,1,-
AAT363,"Rice, chicken and holy basil leaves, fried",(188),59.5,8.6,6.6,(23.6),-,1.7,172,66,-,-,0.4,-,-,-,-,-,-,0.07,0.2,3
AAT364,"Rice, pork and vegetable and egg, fried",(151),69,5.9,6.7,(16.7),-,1.7,103,62,141,91,0.6,-,-,-,-,-,0.02,0.25,1.9,-
AAT359,"Rice, covered w/ egg in five spices soup",(181),61.6,5.7,6.4,(25.2),-,1.1,-,-,305,134,3.7,-,-,-,-,-,-,-,-,-
AAT204,Fermented rice noodle with fish curry,82,80.4,2.7,2.1,13,0.4,1.5,70,32,419,-,0.1,-,-,-,-,-,-,0.25,0.8,-
AAT347,"Rice noodle, big size, with beef ball and soup",(61),83.4,4.6,0.7,(9.0),-,2.3,23,30,752,188,-,-,-,-,-,-,0.01,0.04,-,-
AAT348,"Rice noodle, big size, with pork, w/o soup",75,83.7,7.1,3.6,2.8,1.6,1.2,-,-,366,65,1.2,-,-,-,-,-,-,-,-,-
AAT113,"Rice noodle, deep fried, crispy (Mee-krop)",(505),9.1,2.9,29.4,(57.1),-,1.5,6,47,-,-,0.6,-,-,-,-,-,0.08,0,2,2
AAT346,"Rice noodle, fine thread, w/ beef ball and soup",49,87.5,3.2,1.3,5.8,0.7,1.5,44,40,440,90,0.9,-,-,-,-,-,0.02,0.11,1,-
AAT345,"Rice noodle, fine thread, w/ meat ball, w/o soup",(152),65.7,5.9,4.6,(21.7),-,2.1,26,47,411,162,-,-,-,-,-,-,0.02,0.06,1.3,-
AAT349,"Rice noodle, small size, with pork, w/o soup",(209),59.5,7.9,10.4,(21.0),-,1.2,147,128,311,132,1.9,-,-,575,-,-,0.08,0.54,2.5,1
AAT134,"Baby clam, curry (Pa-naeng) type cooked with coconut milk,",126,76.9,7.2,9,3.4,1.4,2.1,73,-,350,-,6.9,-,-,10,-,10,-,-,-,-
AAT147,"Baby clam, fried with chilli",384,22.5,19.8,21.4,25.7,4.7,5.9,113,-,1370,-,12.2,-,-,22,-,22,-,-,-,-
AAT13,"Bamboo shoot salad, Northeastern style",(33),89.7,2.8,0.5,(4.4),-,2.6,207,30,-,-,1.3,-,-,-,-,-,-,0.2,0.7,1
AAT149,"Salad, w/ unripe papaya, Northeastern style",(28),90.4,1.8,0.3,(4.5),-,3,94,44,-,-,-,-,-,-,-,-,0.01,0.05,0.7,3
AAT133,"Custard, egg, baked",197,58.1,6.3,7.8,24.1,2.8,0.9,5,60,-,-,-,-,-,16,-,16,0.04,0.22,1,-
AAT263,"Custard, mungbean, baked",207,54.2,5.8,7.2,27.7,4.2,0.9,9,72,-,-,-,-,-,8,-,8,0.05,0.18,0.8,-
AAT173,"Glutinous rice, steeped in coconut milk",281,35.8,3.1,6.3,52.2,1.7,0.9,1,18,-,-,-,-,-,-,-,-,-,0.03,0.3,-
AAT259,"Moon's cake, durian and egg filling",379,18.7,6.5,13.2,57,3.2,1.4,36,-,83,-,1.4,-,-,25,-,25,-,-,-,-
AAT255,"Moon's cake, durian filling",363,18.8,5,10.3,60.7,3.7,1.5,23,-,67,-,1.2,-,-,-,-,-,-,-,-,-
AAT258,"Moon's cake, five nuts filling",430,13.8,10.5,19.3,52.3,2.6,1.5,43,-,189,-,3.5,-,-,0,-,0,-,-,-,-
AAT257,"Moon's cake, lotus seed and egg filling",404,20,6.7,18.2,52.3,1.9,0.9,62,-,64,-,1.9,-,-,25,-,25,-,-,-,-
